iso3,country,disagg.value,adult_obesity_1999,adult_obesity_2000,adult_obesity_2001,adult_obesity_2002,adult_obesity_2003,adult_obesity_2004,adult_obesity_2005,adult_obesity_2006,adult_obesity_2007,adult_obesity_2008,adult_obesity_2009,adult_obesity_2010,adult_obesity_2011,adult_obesity_2012,adult_obesity_2013,adult_obesity_2014,adult_obesity_2015,adult_obesity_2016
BLZ,Belize,Female,22.46,23.00,23.52,24.04,24.56,25.07,25.57,26.08,26.59,27.10,27.61,28.13,28.67,29.21,29.76,30.33,30.90,31.49
BLZ,Belize,Male,9.34,9.71,10.08,10.45,10.83,11.21,11.59,11.97,12.36,12.76,13.18,13.60,14.03,14.49,14.96,15.45,15.96,16.49
BOL,Bolivia (Plurinational State of),Female,17.30,17.76,18.23,18.69,19.15,19.62,20.10,20.57,21.05,21.54,22.02,22.52,23.01,23.51,24.02,24.53,25.04,25.56
BOL,Bolivia (Plurinational State of),Male,7.89,8.22,8.55,8.89,9.23,9.58,9.94,10.31,10.68,11.07,11.46,11.87,12.28,12.71,13.14,13.59,14.05,14.52
BRA,Brazil,Female,17.25,17.75,18.24,18.72,19.19,19.66,20.13,20.59,21.06,21.53,22.00,22.47,22.95,23.43,23.91,24.41,24.90,25.40
BRA,Brazil,Male,10.54,10.99,11.44,11.88,12.33,12.77,13.22,13.67,14.12,14.58,15.04,15.51,15.99,16.47,16.96,17.47,17.99,18.51
BRB,Barbados,Female,21.13,21.72,22.31,22.90,23.48,24.05,24.63,25.21,25.79,26.37,26.96,27.56,28.17,28.78,29.41,30.04,30.68,31.34
BRB,Barbados,Male,7.72,8.07,8.41,8.77,9.12,9.49,9.85,10.23,10.61,11.01,11.41,11.83,12.27,12.72,13.18,13.67,14.17,14.70
BRN,Brunei Darussalam,Female,8.80,9.13,9.48,9.83,10.19,10.56,10.95,11.34,11.74,12.15,12.57,12.99,13.43,13.87,14.33,14.79,15.26,15.75
BRN,Brunei Darussalam,Male,4.99,5.30,5.62,5.95,6.31,6.68,7.07,7.47,7.89,8.33,8.79,9.27,9.76,10.27,10.80,11.35,11.92,12.51
BTN,Bhutan,Female,3.33,3.55,3.79,4.04,4.31,4.58,4.87,5.17,5.47,5.78,6.09,6.41,6.74,7.08,7.42,7.77,8.13,8.50
BTN,Bhutan,Male,1.38,1.50,1.63,1.77,1.92,2.08,2.25,2.43,2.62,2.81,3.02,3.23,3.45,3.68,3.92,4.17,4.44,4.71
BWA,Botswana,Female,20.63,21.28,21.89,22.47,23.03,23.57,24.09,24.60,25.09,25.58,26.05,26.52,26.99,27.45,27.92,28.39,28.86,29.33
BWA,Botswana,Male,3.66,3.91,4.15,4.39,4.63,4.87,5.11,5.36,5.60,5.85,6.11,6.37,6.63,6.91,7.20,7.50,7.82,8.15
CAF,Central African Republic,Female,5.68,5.91,6.14,6.38,6.64,6.90,7.17,7.45,7.74,8.04,8.36,8.68,9.02,9.37,9.74,10.12,10.51,10.92
CAF,Central African Republic,Male,1.59,1.67,1.75,1.84,1.93,2.03,2.13,2.24,2.35,2.47,2.59,2.72,2.86,3.01,3.16,3.33,3.51,3.70
CAN,Canada,Female,20.38,20.94,21.49,22.03,22.56,23.09,23.61,24.13,24.64,25.15,25.66,26.18,26.69,27.21,27.73,28.26,28.79,29.33
CAN,Canada,Male,19.28,19.90,20.51,21.12,21.72,22.32,22.91,23.49,24.08,24.66,25.24,25.83,26.42,27.01,27.61,28.22,28.83,29.46
CHE,Switzerland,Female,12.61,12.85,13.09,13.33,13.57,13.81,14.06,14.30,14.54,14.79,15.04,15.29,15.54,15.79,16.05,16.31,16.58,16.86
CHE,Switzerland,Male,14.42,14.83,15.24,15.65,16.07,16.50,16.94,17.38,17.82,18.28,18.74,19.20,19.67,20.16,20.65,21.15,21.67,22.19
